certify,approve,speccert,wouldyou,recert,subdisc,college,employ,workenv,workact,yearsmem
2,2,2,4,2,CM,P,E,A,E,3
5,5,5,5,5,BP,M,E,I,S,2
5,5,5,2,5,PE,P,E,G,C,18
2,2,4,4,2,GV,M,E,G,P,30
1,4,5,2,4,EN,M,I,A,S,2
5,4,5,3,5,BI,M,E,I,R,8
5,5,5,5,5,BI,P,E,A,E,20
5,3,3,2,5,PE,P,E,A,R,30
5,5,5,5,5,SS,P,E,A,E,2
5,5,5,5,5,GV,M,E,G,P,26
2,3,4,1,3,CM,M,R,G,R,30
5,5,5,5,3,SS,P,E,G,R,25
1,2,5,5,1,TH,P,E,I,R,1
5,5,5,2,5,CE,P,E,I,C,2
5,5,5,4,5,BP,M,E,I,R,9
2,1,1,1,3,BE,P,E,A,E,2
5,5,5,2,4,EN,M,E,G,R,10
1,1,5,1,2,TH,P,E,A,C,5
5,5,5,4,2,QP,P,E,I,P,12
2,2,2,2,3,BP,P,E,A,E,12
5,5,5,5,5,BP,M,E,I,P,14
1,1,1,2,1,TH,M,E,A,P,2
1,1,2,1,1,QP,M,E,I,P,1
1,1,2,1,2,BI,P,E,A,C,20
4,5,4,4,2,QP,M,E,I,C,15
5,4,5,2,4,BI,P,E,A,R,16
1,2,5,1,5,CM,M,E,I,P,12
2,2,2,4,4,BI,P,E,A,R,15
5,0,0,5,0,BI,P,E,A,R,12
2,2,3,3,2,PE,P,E,I,R,20
2,4,5,2,4,BI,P,E,I,P,10
3,3,5,1,3,BP,P,E,I,C,4
5,5,5,5,5,BP,P,E,I,C,8
1,1,2,1,2,BA,P,E,A,E,23
5,3,5,5,3,PE,M,R,I,R,3
5,5,5,2,5,BI,M,E,I,R,4
1,2,2,1,2,SR,M,E,G,R,15
1,1,5,5,5,BA,P,E,A,R,12
2,3,4,5,4,CE,P,E,A,R,20
5,5,5,5,5,PE,P,E,I,C,3
1,3,3,1,5,BP,P,E,I,P,13
1,1,1,1,5,BI,P,E,I,R,5
3,3,4,4,4,QP,P,E,A,E,15
1,2,5,4,4,BP,M,E,I,C,2
5,5,5,1,1,GV,M,E,A,R,10
5,5,5,5,5,BI,M,E,A,E,2
5,5,5,2,5,CM,P,E,A,R,3
4,4,5,5,3,BA,P,E,A,R,11
1,1,5,2,2,BP,P,E,I,R,28
1,1,2,1,1,EN,B,E,I,C,2
5,5,5,5,5,BE,M,E,A,E,1
1,2,4,1,5,BI,P,E,A,C,20
2,3,4,1,3,QP,P,E,G,C,20
3,3,3,1,3,BP,M,E,I,P,4
1,1,1,1,1,BE,P,E,I,C,12
4,3,5,2,5,SS,M,I,A,S,2
1,1,4,1,4,BI,P,E,G,C,14
5,5,5,1,1,QP,P,E,I,P,10
2,2,1,2,2,QP,P,E,I,P,17
5,5,5,4,1,PE,P,E,G,C,28
5,5,5,3,3,BE,P,E,A,E,15
3,0,0,5,1,BI,P,R,A,E,46
1,2,4,1,1,BE,P,E,I,C,5
2,3,5,5,5,PE,P,R,I,C,40
5,2,5,1,5,SR,P,E,I,R,20
2,4,5,3,3,BP,M,E,I,C,1
5,5,5,5,3,BI,P,E,G,R,4
5,5,5,5,0,BI,P,E,G,R,15
1,1,1,1,2,BI,P,E,A,P,21
3,3,3,5,3,SS,M,R,I,R,20
5,4,5,5,5,GV,M,E,G,R,5
1,1,2,2,1,GV,M,E,G,P,2
1,1,4,1,2,BE,M,E,I,C,22
5,5,5,2,5,BP,M,S,I,C,12
1,2,3,1,4,BE,M,E,I,P,16
2,3,4,5,2,PE,P,E,G,R,1
4,3,5,2,5,CM,P,E,A,E,20
1,2,5,5,4,SS,P,E,A,E,24
5,4,5,2,5,BI,M,I,A,R,1
5,5,5,4,5,CM,P,E,I,P,3
0,5,5,3,5,GV,M,E,G,C,12
2,5,2,2,3,BE,P,E,I,R,14
5,5,5,5,5,BP,P,E,I,P,14
2,2,1,4,1,GV,B,E,G,P,20
5,5,5,1,5,BP,P,E,I,C,22
2,2,5,3,5,PE,P,E,G,P,26
5,5,5,2,5,BI,P,E,I,P,14
5,5,5,1,1,SS,P,E,A,E,25
5,5,5,3,3,SS,P,E,A,E,25
2,3,4,4,2,CM,P,E,A,R,14
5,5,1,5,1,BI,P,E,G,C,27
5,5,5,5,3,PE,P,E,A,E,30
1,1,4,1,1,QP,M,E,I,C,12
2,3,5,5,5,BI,P,E,A,R,20
2,2,5,2,5,BI,P,E,A,R,12
4,4,4,4,5,PE,M,E,I,P,25
5,5,4,5,3,BI,P,E,G,R,20
2,3,1,1,5,PE,M,S,I,C,3
2,3,2,2,2,CM,M,E,I,R,10
2,2,2,2,2,MR,P,E,I,R,1
5,3,1,5,2,BE,P,E,G,R,2
1,2,1,2,5,SR,P,E,I,P,15
1,3,4,1,2,BI,B,S,I,C,1
5,4,5,5,1,BE,M,S,I,P,9
1,4,1,5,5,PE,P,E,A,R,19
1,1,5,1,1,BP,P,E,G,R,13
2,3,2,2,2,BE,P,E,A,E,20
2,2,2,1,2,SS,P,E,A,E,2
2,4,5,2,5,SR,P,E,A,R,18
3,3,5,1,3,PE,M,E,G,P,2
1,1,1,1,5,BI,M,E,I,R,10
2,2,1,1,1,SS,P,E,A,E,10
5,4,3,5,1,SR,P,E,A,E,28
5,5,5,2,5,PE,P,E,G,C,15
5,5,5,2,2,SR,M,E,G,P,12
5,5,5,5,3,SR,P,E,G,R,30
2,2,4,2,2,BI,P,U,A,R,2
3,2,5,4,5,PE,P,E,A,E,15
1,2,4,1,1,BI,P,E,A,E,18
5,5,5,5,5,PE,P,E,A,R,20
1,1,1,5,1,BE,P,R,A,E,35
5,5,5,1,5,BE,P,E,A,E,30
5,5,5,5,5,CE,P,E,A,E,25
5,5,5,5,3,EN,P,E,G,R,1
5,5,5,5,5,QP,P,E,A,E,46
2,2,5,5,2,EN,B,E,I,P,15
2,3,1,4,1,GV,M,E,G,P,29
5,5,5,5,5,BI,P,E,A,R,15
5,4,5,2,4,PE,P,E,A,E,20
2,2,1,1,4,SS,P,E,A,R,5
2,3,4,2,3,CE,M,E,A,E,15
1,3,1,5,2,SR,P,E,G,P,14
2,2,5,2,1,GV,M,E,G,P,14
5,5,5,1,5,BI,P,E,A,R,20
3,2,4,2,5,GV,M,E,G,C,14
1,2,2,1,2,BP,M,E,I,P,4
1,2,4,1,2,BP,P,E,G,R,31
2,3,2,1,2,BP,P,E,I,P,10
3,3,2,2,3,MR,M,E,I,R,1
1,2,5,1,5,BP,P,E,A,E,25
5,5,5,5,5,GV,M,E,G,R,23
1,1,1,1,5,CM,P,E,A,R,8
3,3,1,1,5,BA,P,E,A,R,5
2,3,2,1,4,BA,P,E,A,E,6
5,4,5,2,3,BP,P,I,A,S,3
1,1,2,1,1,MR,M,E,I,C,10
5,5,5,1,5,BP,P,E,I,C,15
5,5,5,2,5,BP,M,E,I,P,8
5,3,5,2,5,BI,P,E,I,C,28
2,1,4,1,2,BP,P,E,I,P,17
2,4,5,0,0,BP,P,E,I,P,25
3,1,5,1,2,BI,P,E,A,C,33
2,4,2,2,1,SR,P,E,I,R,15
2,1,2,5,2,BI,P,E,A,R,39
1,1,4,1,5,BP,P,E,I,C,8
4,5,5,5,5,BP,P,E,I,P,20
5,5,5,3,5,SE,P,E,A,E,30
5,5,5,5,2,QP,P,E,I,C,10
1,2,2,1,1,SR,P,E,A,R,2
1,5,1,1,1,SR,P,E,A,R,20
1,1,4,1,1,PE,M,E,I,C,3
3,3,3,4,2,BI,M,R,A,C,35
5,5,5,5,5,BI,M,E,I,P,6
2,3,4,5,2,CM,M,E,A,E,25
1,1,3,2,1,PE,P,R,I,R,20
1,1,2,1,2,PE,P,E,I,P,20
1,1,1,1,1,BP,B,E,I,R,22
1,2,1,1,5,BP,P,E,I,C,7
5,5,5,5,5,MR,M,E,I,P,11
4,5,5,1,2,QP,M,E,I,C,15
1,1,1,1,5,BP,P,E,I,P,12
1,3,2,2,3,BI,P,E,A,E,23
5,5,5,5,5,BI,P,E,A,R,27
4,5,4,2,5,PE,M,E,I,P,2
2,2,2,2,4,BE,P,E,A,E,31
4,4,1,5,5,SS,P,E,I,P,2
5,3,5,3,5,GV,M,E,G,R,1
5,5,5,2,2,CE,M,E,A,E,15
1,2,2,2,2,BI,M,E,G,C,8
5,4,4,1,1,BA,P,E,I,C,30
3,3,3,4,4,BI,P,E,A,C,8
1,1,3,1,1,QP,P,S,I,C,34
5,5,5,5,3,BI,P,E,A,R,31
1,1,2,1,5,BP,P,E,I,P,14
5,5,5,5,5,QP,M,I,A,S,1
5,4,5,5,5,CE,M,E,A,E,9
2,2,5,5,5,SR,P,E,A,R,25
5,5,5,2,3,BE,P,E,A,E,15
4,4,3,5,5,BI,P,E,G,R,30
5,5,5,1,5,BI,M,E,A,C,8
2,1,5,1,1,BP,P,E,A,C,10
5,5,5,2,5,BP,M,E,I,P,11
1,1,5,2,1,BE,P,E,A,E,1
2,2,1,2,3,QP,B,E,I,P,1
5,5,5,4,5,BP,B,I,A,S,1
2,3,5,2,2,SR,M,E,I,P,46
1,1,5,1,1,BI,M,E,G,P,15
5,3,5,5,3,BE,M,R,I,R,54
2,2,5,1,1,PE,P,E,A,E,25
5,5,5,5,1,BE,P,R,I,C,34
2,2,5,1,3,SS,P,E,A,R,15
1,1,5,1,5,BE,P,E,I,C,20
3,5,2,1,5,BE,M,S,I,C,2
5,5,5,5,5,BE,P,E,A,E,20
4,4,3,5,3,GV,B,E,G,R,33
5,5,5,5,5,BI,P,E,A,R,5
4,4,5,2,5,CM,B,I,A,S,1
2,4,2,2,1,BI,P,E,A,R,18
1,1,2,2,1,BE,B,E,I,R,2
1,4,4,5,1,BP,M,E,A,R,2
2,2,3,2,5,GV,P,E,G,R,14
0,0,0,0,0,BP,P,S,I,C,31
5,5,5,5,5,PE,P,E,A,E,25
1,1,5,1,1,SR,P,E,A,R,10
2,3,5,4,5,BI,M,E,G,C,1
5,5,5,5,5,EN,P,S,I,C,5
2,3,2,2,2,BI,P,E,A,R,6
2,2,5,1,4,QP,M,E,I,P,10
5,5,5,5,5,BI,P,E,A,R,4
5,5,5,5,1,EN,M,E,G,P,11
1,1,5,1,5,BP,M,E,I,C,11
5,5,5,4,5,CM,M,E,I,C,18
5,5,5,5,5,SG,P,E,A,R,3
4,4,3,2,5,SR,M,E,G,P,10
2,2,1,2,4,MR,M,E,I,R,1
5,5,5,5,3,BI,M,E,I,P,8
5,5,5,4,1,GV,M,E,G,P,2
5,5,5,2,5,BI,M,I,A,S,11
5,5,5,3,3,BI,M,E,A,R,5
5,5,5,5,5,BE,P,E,A,E,13
1,2,5,1,2,BI,P,E,A,C,8
5,5,5,2,5,BP,M,E,I,P,15
5,3,3,5,3,PE,P,E,A,E,20
2,3,3,3,4,BI,P,E,A,R,40
5,5,5,5,5,SR,M,E,I,R,25
1,1,5,1,5,SR,P,R,A,R,30
5,5,2,4,5,QP,B,R,I,C,35
2,2,5,5,5,BP,P,E,I,C,4
1,2,5,1,5,BP,M,S,I,C,2
2,3,5,2,5,BE,M,E,I,P,4
5,5,5,3,5,BI,M,E,A,R,4
3,3,4,2,2,BP,M,S,I,C,3
1,3,5,1,1,BP,M,E,I,P,11
5,5,5,4,5,BP,P,E,I,C,14
3,4,4,5,5,EN,M,E,G,P,25
1,1,3,1,1,PE,P,E,I,C,5
2,2,5,2,5,EN,P,E,I,C,36
5,3,5,5,5,BI,P,E,G,C,22
5,5,5,4,2,CE,P,E,A,C,30
4,4,3,5,1,BI,P,E,A,R,27
3,3,3,4,5,CM,M,E,G,P,1
5,5,5,4,4,EN,P,E,G,C,14
2,2,2,5,2,MR,P,R,I,P,50
3,3,2,1,4,QP,B,E,I,P,1
5,5,5,5,5,BI,P,E,A,R,5
5,5,5,2,5,CE,M,E,A,E,17
1,2,3,1,1,BP,M,E,I,C,10
5,5,5,3,5,BP,P,E,I,R,17
4,4,5,2,5,CE,M,S,A,E,3
5,5,5,4,5,BP,M,E,I,P,10
2,2,1,2,1,QP,M,E,I,P,7
2,5,5,5,5,BI,P,E,A,R,11
5,5,5,5,5,BI,M,E,I,R,10
5,5,5,5,5,SG,P,E,A,R,3
1,2,2,1,3,BI,M,U,A,S,9
5,5,5,5,1,SR,P,E,G,R,20
4,4,1,2,5,GV,M,E,G,R,7
1,2,5,1,4,BI,P,E,A,P,5
5,5,5,5,3,BI,P,E,A,R,35
3,3,5,4,3,PE,P,E,A,R,20
5,0,3,5,5,TH,P,E,A,E,35
3,3,3,5,3,BI,P,E,A,E,5
5,5,5,5,5,GV,P,E,G,R,12
2,2,1,5,4,BI,P,E,A,R,25
1,1,2,2,1,PE,M,E,I,P,2
5,5,5,5,5,MR,P,E,A,R,2
4,3,4,4,2,BE,P,E,A,R,2
1,1,1,1,1,CE,M,I,A,S,6
3,0,5,1,5,SS,P,E,A,R,20
1,1,5,1,1,QP,M,E,I,C,28
5,5,5,5,5,PE,P,E,A,E,4
2,2,5,1,5,BA,M,I,A,S,5
2,4,2,2,3,SR,P,E,G,R,24
1,1,1,1,1,BE,P,E,G,R,20
2,2,5,1,1,EN,P,E,I,C,29
1,2,1,1,1,BP,B,E,I,C,8
5,5,5,5,5,CE,P,E,A,R,2
1,3,1,5,1,SR,B,R,G,R,40
1,1,4,1,4,CM,P,E,A,E,20
5,5,5,5,5,SS,P,E,A,E,2
5,5,5,5,5,SR,P,E,A,R,20
5,3,5,1,5,CE,P,S,I,C,28
1,1,1,1,1,QP,M,E,I,P,10
2,2,3,1,1,PE,P,E,A,E,24
5,5,5,5,2,GV,B,E,G,P,24
4,4,4,4,3,MR,P,E,A,R,14
5,5,5,1,1,SS,M,E,A,P,15
1,1,5,1,3,TH,P,R,A,R,3
2,1,5,5,4,BI,P,E,A,E,42
5,5,5,5,5,BI,P,E,A,C,20
4,5,4,2,2,SS,M,R,G,R,54
1,2,1,1,4,SR,M,E,G,C,6
2,5,3,4,2,TH,P,E,A,C,30
4,4,3,2,5,BP,P,E,I,C,12
5,5,5,2,5,EN,P,E,A,R,3
5,5,5,5,3,CM,P,E,A,R,19
2,3,2,2,4,SR,M,E,G,R,9
5,5,5,5,5,CM,P,E,I,R,2
1,1,3,5,3,PE,P,E,A,E,40
4,5,3,4,1,GV,M,E,G,P,19
2,2,2,2,2,PE,P,E,A,R,5
1,2,5,2,4,BI,P,E,I,R,10
5,5,5,2,1,QP,M,E,I,P,19
1,2,1,1,2,EN,P,E,I,C,30
3,3,3,5,3,BE,M,S,I,R,3
5,5,5,5,5,BP,P,S,I,C,20
5,5,5,1,5,BE,P,E,A,R,10
5,5,5,5,5,PE,P,E,A,E,18
5,5,5,5,5,CM,M,E,I,P,10
2,2,2,1,1,QP,M,E,I,C,3
3,3,3,2,3,BE,P,E,I,P,25
5,5,2,5,2,BA,M,E,I,C,4
2,3,4,2,4,BP,P,E,I,C,4
1,2,2,4,1,QP,M,E,I,P,3
5,3,2,1,2,PE,M,E,I,C,16
3,3,5,2,1,BI,P,I,A,S,2
5,5,5,5,5,BI,M,E,A,C,13
1,1,5,1,5,BI,P,E,A,E,12
1,1,2,1,1,MR,M,E,I,P,2
2,2,4,1,4,CM,P,E,A,C,5
5,5,1,5,1,BI,P,E,A,R,2
3,0,5,5,2,BE,P,E,A,E,9
1,1,5,1,3,CM,P,E,A,R,10
5,5,5,5,5,CM,M,E,A,E,16
5,5,5,2,1,SR,M,E,G,R,6
2,3,4,2,4,SR,M,E,I,R,3
4,4,4,2,2,CM,P,E,A,E,22
5,5,5,1,5,BI,P,E,G,R,15
5,5,5,5,3,EN,P,E,A,R,3
2,2,3,1,5,CM,P,E,A,C,27
2,2,5,2,2,PE,P,E,A,E,30
1,2,2,1,2,BI,M,E,A,R,1
2,2,3,2,4,CM,P,E,A,E,20
2,2,5,1,1,BP,P,E,I,P,25
2,3,1,2,2,BI,P,E,A,R,1
5,5,5,5,5,PE,P,E,G,C,20
1,2,2,2,1,SR,P,E,I,C,26
2,2,2,2,1,QP,P,E,A,E,25
2,3,2,2,2,CM,P,E,A,E,10
5,5,5,5,5,BI,P,E,A,R,2
2,2,3,1,3,CM,P,E,A,P,32
5,3,5,5,5,BE,P,E,I,R,16
5,5,2,5,2,BA,P,E,A,R,29
5,5,5,1,5,BE,P,E,A,E,3
1,3,4,1,1,MR,P,E,I,P,25
5,3,4,2,2,CE,P,E,I,C,3
5,5,5,5,5,SS,P,E,A,R,20
2,2,5,1,1,BP,M,E,I,P,17
3,2,4,2,1,SS,P,E,A,E,2
1,2,2,5,1,CM,P,E,A,R,10
5,5,5,5,5,BI,P,R,G,R,3
5,3,3,3,3,BE,P,E,A,R,2
4,4,2,5,5,BI,P,E,A,R,12
2,3,3,4,1,SS,P,E,A,E,15
4,4,5,5,3,SS,P,E,A,E,25
5,5,5,3,3,BP,M,E,I,R,21
1,1,2,1,1,CE,P,S,A,C,40
2,5,3,2,1,SR,M,E,G,R,2
5,5,5,5,3,CM,M,E,I,R,9
1,2,4,1,2,PE,P,E,A,R,14
5,5,5,5,0,SR,P,E,A,E,40
1,1,5,1,3,QP,M,E,I,C,17
1,1,5,1,5,CE,P,E,A,E,22
5,5,5,4,3,PE,P,R,I,C,48
2,1,4,1,2,CE,P,E,A,E,15
1,5,5,1,1,BP,P,E,I,P,25
5,5,3,5,3,SR,P,E,A,R,15
1,1,2,1,4,CM,P,S,I,C,30
4,3,5,5,3,QP,P,E,A,E,15
4,4,3,5,5,EN,M,E,G,R,1
2,3,2,2,2,BE,P,E,I,C,3
1,1,1,2,4,BP,P,S,I,C,24
3,3,3,2,1,CE,M,E,A,E,2
5,4,5,1,5,BI,M,E,A,P,1
2,2,5,2,3,QP,M,E,I,P,30
5,5,2,4,3,BP,M,E,I,P,18
5,4,5,2,5,PE,P,E,G,C,42
2,5,1,2,5,BI,P,E,G,R,25
1,1,1,2,1,PE,M,E,I,R,5
3,3,4,5,2,CE,M,E,A,E,20
2,2,1,2,4,BI,M,E,A,R,10
3,3,3,5,3,CM,P,R,A,E,47
4,4,5,3,5,BE,P,S,I,C,20
5,5,5,5,5,QP,M,E,A,E,25
5,3,5,1,5,BI,P,E,A,R,12
5,5,5,5,5,BE,P,E,I,C,5
1,1,1,1,1,SR,M,E,G,P,19
2,2,2,4,5,GV,P,E,G,P,1
5,4,5,2,5,GV,M,E,G,R,2
5,5,5,5,3,BI,B,E,G,C,15
5,5,5,5,5,BE,P,E,G,R,29
5,5,3,5,5,BI,P,E,A,R,21
5,5,5,5,5,QP,M,E,I,C,15
5,5,5,5,5,BI,P,E,A,E,10
5,0,0,1,5,BE,B,E,I,R,10
1,1,5,1,4,QP,M,E,I,P,2
2,2,4,1,4,QP,M,S,I,C,20
2,2,5,2,4,GV,M,E,G,P,4
4,5,4,4,3,BI,P,E,A,R,20
5,5,5,2,5,CM,P,E,A,E,13
4,5,4,5,3,BI,P,E,I,C,3
1,2,1,1,1,BP,M,E,I,P,15
2,2,4,1,4,BE,M,E,I,P,9
1,1,4,1,5,BP,M,E,I,R,7
5,5,5,5,5,BI,M,E,A,R,3
1,3,5,1,5,BI,M,I,A,S,1
1,1,2,1,1,QP,M,E,I,C,14
1,1,2,3,5,BI,P,E,I,R,25
5,5,5,5,3,QP,M,E,I,C,13
5,5,5,5,5,PE,M,E,I,R,3
1,1,5,1,4,BE,M,E,A,E,17
1,3,1,1,1,CE,M,E,I,P,2
5,5,5,5,3,TH,P,E,I,R,6
5,5,5,2,5,SR,B,E,G,C,12
2,2,4,2,2,BP,P,E,A,E,11
2,5,3,3,2,BI,P,E,A,R,20
2,2,1,1,2,BI,P,E,G,R,15
5,5,5,5,5,BI,P,E,I,C,11
1,2,3,1,5,BI,P,E,A,R,20
5,5,5,2,2,BE,M,E,I,C,10
2,3,2,1,2,BE,P,E,G,P,12
2,2,3,5,1,PE,P,E,I,P,43
4,5,5,4,5,PE,M,E,I,P,2
1,2,3,2,1,EN,M,R,G,C,20
1,2,3,1,2,BP,M,E,I,P,10
5,4,5,5,4,QP,B,I,A,S,1
5,5,5,5,5,SS,P,E,A,R,18
4,4,5,2,2,BI,M,I,A,S,2
1,1,4,1,1,BI,P,E,A,C,24
1,1,2,1,5,QP,P,E,I,C,15
5,4,5,2,1,SG,M,E,A,C,17
2,2,1,2,1,PE,M,E,I,R,15
4,5,5,5,5,SR,B,I,G,S,4
5,5,5,5,5,TH,P,E,A,E,18
2,2,1,1,5,EN,P,E,A,R,3
1,3,1,1,5,BE,M,E,G,R,1
1,1,2,1,2,QP,M,E,I,C,14
2,3,5,1,5,SS,P,E,A,E,10
5,5,5,5,5,GV,P,E,G,P,2
5,5,0,5,1,BI,P,E,A,R,12
5,5,5,4,5,SR,B,E,A,R,3
3,0,5,3,2,MR,P,E,A,E,10
5,5,5,5,3,BI,P,E,A,R,12
4,4,4,4,5,BE,P,E,G,R,20
2,2,3,2,2,BE,P,E,A,E,15
5,5,5,5,5,EN,P,E,G,R,20
1,1,5,1,1,QP,P,E,I,C,20
5,3,5,5,5,BP,P,E,I,R,12
3,3,3,4,3,CM,M,E,I,R,2
2,3,2,2,5,BI,M,E,A,C,20
1,3,5,1,5,BP,B,E,I,R,2
5,3,5,1,5,CE,P,E,A,E,20
3,3,2,5,5,BI,P,E,A,E,20
5,3,5,1,2,QP,M,E,I,P,11
3,3,3,3,3,BE,P,E,A,R,1
5,5,0,5,0,EN,P,E,A,E,1
5,5,5,5,5,SR,M,E,I,O,10
5,5,5,5,5,BE,P,E,A,R,2
2,2,4,1,3,BI,M,E,A,C,3
1,1,3,1,1,QP,P,R,I,C,33
1,1,2,1,2,BI,B,E,A,E,14
1,2,2,1,1,CM,M,E,G,R,5
1,2,4,4,4,PE,P,E,I,R,5
5,5,5,5,5,SS,P,E,A,R,42
2,2,3,2,5,GV,M,E,G,R,20
1,1,1,1,5,BI,P,E,G,R,40
1,2,5,1,4,CE,P,E,A,E,20
2,2,5,1,1,BI,P,E,A,R,18
5,5,5,5,5,BI,P,E,G,R,14
1,1,4,1,5,BE,P,R,G,E,40
2,3,4,3,4,BI,P,E,A,E,18
1,3,5,1,5,GV,M,E,G,R,20
5,3,5,1,2,CE,P,E,G,E,10
2,2,3,5,1,BI,P,E,I,C,30
5,5,5,5,5,SS,P,E,A,E,2
2,3,2,2,3,SR,M,E,G,R,21
1,2,5,1,4,EN,P,E,G,P,10
4,4,5,3,5,BI,P,E,A,R,7
5,5,5,2,3,BI,P,E,G,P,8
5,5,5,5,5,BA,P,E,A,R,25
2,2,5,2,5,PE,P,E,A,E,20
2,4,2,2,5,BE,M,E,I,P,6
1,2,5,4,3,BE,P,E,A,E,2
1,1,5,1,5,BP,M,E,I,C,12
3,3,5,2,5,PE,P,E,A,R,12
1,2,1,1,5,BI,P,S,A,E,3
1,2,5,4,1,PE,M,E,I,C,18
5,5,5,5,1,SS,P,E,A,C,2
5,4,4,4,3,CE,P,E,A,E,18
1,5,1,1,2,QP,M,S,I,C,5
2,3,3,4,4,BE,P,E,G,R,22
2,3,1,5,2,CM,P,E,G,R,1
4,4,4,5,1,BI,P,E,A,R,12
5,5,5,5,5,PE,P,U,A,E,11
2,2,1,2,1,QP,B,E,I,P,3
4,5,5,2,5,GV,P,E,G,P,25
2,2,5,1,5,BP,P,E,I,C,21
5,5,5,2,5,GV,B,E,I,C,32
5,5,5,1,5,SR,M,E,G,C,10
2,3,5,3,5,BI,P,E,A,E,23
2,2,5,1,5,BI,P,E,A,R,12
2,2,2,1,2,QP,M,U,I,P,11
1,1,5,4,2,BI,P,E,A,R,11
0,0,0,0,0,BE,P,E,A,R,30
2,2,5,1,2,CM,P,E,A,R,18
4,4,4,4,5,BI,P,E,A,R,20
4,4,4,2,3,BI,M,U,G,R,20
1,3,2,5,5,BE,B,E,G,P,1
5,5,5,1,2,EN,P,E,G,P,22
1,1,2,1,1,PE,M,E,I,C,6
1,2,4,1,5,BI,P,E,G,P,6
5,5,5,4,5,BI,P,E,A,E,28
1,1,2,1,1,BI,P,E,A,C,30
5,5,5,5,1,SS,P,E,A,E,30
3,3,3,3,3,CE,B,E,I,E,28
1,1,2,1,1,QP,M,E,I,P,7
2,1,5,1,2,BP,P,E,I,C,23
2,1,5,5,1,SS,M,E,I,P,40
2,3,4,2,2,BI,P,E,A,R,15
5,5,5,3,5,BI,P,E,I,R,6
4,5,4,1,1,SR,P,E,G,C,30
1,2,2,2,2,CM,M,E,I,R,18
2,3,2,2,2,QP,M,E,I,P,6
5,3,5,5,5,QP,M,E,I,C,3
3,4,5,5,5,CM,M,E,I,C,14
2,4,2,1,4,SR,P,E,G,R,14
1,2,5,1,5,CM,P,E,G,R,15
5,5,5,1,1,BP,M,E,I,P,5
1,4,1,2,1,QP,B,E,I,P,2
5,5,5,1,5,BP,P,E,I,P,26
2,2,2,4,3,CE,P,E,A,E,10
5,5,5,1,5,CE,M,E,I,C,3
3,3,5,1,3,SG,P,E,A,E,20
5,5,5,5,5,BI,P,E,A,E,24
2,2,5,4,1,CE,P,E,A,E,18
2,1,2,1,5,BP,B,I,A,S,2
1,1,5,1,1,BI,P,E,A,E,25
4,4,4,1,3,BI,P,E,A,R,1
5,5,5,2,2,GV,P,E,G,R,27
5,4,5,1,5,BI,P,S,A,C,10
5,5,5,1,1,TH,M,E,G,S,2
1,0,1,1,5,BP,P,E,I,C,16
2,4,5,2,3,SS,P,E,I,P,16
2,2,2,5,5,BE,M,E,I,P,11
5,5,5,5,5,BI,P,E,A,P,40
1,1,2,5,5,BI,P,E,G,R,25
2,3,4,2,4,BA,P,E,A,E,35
1,2,5,1,2,BI,P,E,G,R,22
2,2,3,2,1,QP,M,E,I,P,16
1,1,3,1,4,SR,P,E,I,R,20
4,4,4,3,3,BA,P,E,A,E,7
5,4,5,5,4,BE,M,E,I,C,30
5,5,1,1,1,BE,P,E,A,E,10
3,3,5,3,2,TH,P,I,A,S,3
5,5,5,5,1,BE,P,R,A,E,35
5,5,5,5,5,BE,P,E,A,E,21
5,5,5,5,5,PE,P,E,A,E,36
3,3,2,3,2,BE,M,E,I,C,5
5,5,5,5,3,BE,P,E,A,E,25
1,1,2,1,1,BE,M,E,I,C,10
1,4,2,1,1,CM,B,E,I,P,6
2,3,3,2,3,CE,P,E,A,E,20
1,3,1,5,2,BI,M,E,G,C,10
5,3,5,4,2,SR,P,E,A,R,24
2,4,2,2,1,QP,P,E,I,C,13
1,1,5,1,5,QP,M,E,I,R,3
1,1,1,5,1,PE,M,E,I,R,2
5,5,5,5,5,BI,M,E,G,C,4
3,3,2,4,3,CE,P,S,G,C,2
1,2,1,1,1,BE,M,E,A,R,2
5,5,5,5,1,MR,P,R,A,C,36
3,3,3,5,5,BE,B,E,G,E,5
5,5,5,2,5,BI,M,E,A,C,5
2,2,5,1,1,BE,P,E,A,E,10
4,3,2,2,1,BA,B,E,I,P,2
3,3,3,3,3,BP,P,E,I,R,3
2,2,5,2,5,EN,P,E,G,P,30
5,5,5,5,5,BE,P,E,A,E,2
1,1,5,1,1,CE,P,E,A,E,10
2,3,2,1,2,BP,M,E,I,P,5
4,4,3,2,3,CM,M,E,A,C,10
5,5,5,5,5,BE,B,E,I,P,40
5,5,5,5,5,BI,P,E,A,E,20
1,2,2,1,1,QP,M,E,I,P,3
1,1,5,1,5,SS,P,R,A,R,40
5,5,2,5,5,QP,P,E,I,C,7
5,5,5,5,5,BI,M,E,I,R,15
5,4,5,5,5,BE,M,E,I,R,15
5,5,5,5,5,QP,P,E,I,P,15
5,5,5,5,3,MR,M,S,I,P,1
5,5,5,5,5,SR,P,E,A,R,10
3,3,3,3,3,MR,P,E,I,P,1
5,5,5,5,5,QP,P,E,A,E,17
5,3,3,5,1,BI,M,R,G,P,39
1,2,4,2,2,BI,M,E,G,P,1
1,2,5,1,1,EN,M,E,G,C,5
